REF_AREA,Reference area,Measure,Pollutant,Unit of measure,ISO,ISO 1,TIME_PERIOD,OBS_VALUE
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,2009,23.550333
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,2010,24.187355
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,2011,24.052904
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,2012,21.800665
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,2013,22.342175
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,2014,21.032387
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,2015,21.949074
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,2016,18.719473
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,2017,19.862825
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,2018,20.452827
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,2019,19.487083
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,2020,18.615849
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,1990,13.240163
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,1995,12.949088
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2000,12.554996
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2001,11.912104
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2002,11.816189
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2003,11.53127
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2004,10.89492
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2005,11.557257
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2006,10.839731
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2007,11.122128
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2008,10.200489
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2009,9.1990395
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2010,9.1270218
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2011,9.2190008
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2012,8.8686428
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2013,8.6119432
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2014,8.3809328
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2015,8.067481
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2016,7.3037238
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2017,7.675848
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2018,7.7052402
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2019,7.0718317
USA,United States,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,USA,United States,2020,7.6972504
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,1990,6.4521308
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,1995,6.3734746
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2000,6.5975218
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2001,6.6804633
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2002,6.4601102
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2003,6.386085
