"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Italy","ITA","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.76467083104192","6.19690756086067","4.5749672205927","3.175840956922","2.95076120076852","2.94723707825999","2.67465437771054","2.46793006133738","2.52055350741574","2.31442886644932","2.08786959686339","1.95061859339172","1.66890484122821","1.87613531530753","","1.68052506009607","1.57792169241773","1.69027276557102","1.62910258262035","1.44587426885398","1.2934738391857","1.32841524792784","1.2609637094177","1.10557413192022","1.12197714813044","1.14023865184304","0.866839744526909","0.836533043655197","0.748009676637476","0.708140836905935","0.583001541349134","0.637267905037523","","",
"Italy","ITA","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Italy","ITA","Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","VA.PER.RNK.LOWER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71","","68.1592025756836","","68.6567153930664","","69.1542282104492","67.164176940918","77.8846130371094","71.6346130371094","73.5576934814453","72.5961532592773","71.1538467407227","70.1421813964844","69.6682434082031","68.5446014404297","69.4835662841797","70.4225387573242","70.9359588623047","71.9211807250977","71.9211807250977","73.3990173339844","71.8446578979492","70.0483093261719","73.9130401611328","75.3623199462891","75.3623199462891","",
"Italy","ITA","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","44.0619621342513","46.5778570629509","49.5950119128964","48.298788209678","44.5693406444849","45.5581289747105","44.5258786028838","50.5683272050783","53.2562594697695","53.9695832405478","51.566419197899","47.2470938549775","50.0222979998437","51.5238931131528","49.0399281010756","46.0940765236672","45.5395083079674","44.6670342291599","45.1994637874871","41.5820838473698","36.4818934193753","44.4749665611642","44.368543246577","46.9389984018047","48.9353261475657","50.8433070488887","49.9677698428081","48.3979623778607","47.4280805040438","47.3730220649611","46.8766735373947","43.2929280762347","43.2648889957296","42.7214879126169","41.0242364962296","38.8874403102685","37.8654955561411","37.0620556831483","40.3723859650466","42.1212511256369","38.5178143264939","39.2345788525156","38.0183352137387","39.3744683101137","40.1360097512706","40.4722063878399","40.3171686115914","39.7613454846854","40.1168688302385","40.7269687006215","23.4831588171837","24.2792370565026","36.4206780298111","38.0391164411195",
"Italy","ITA","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","3718399996.2816","4072271905.75223","4825055308.77108","5645452328.09206","5980070103.39677","7156605312.03924","7131489854.69551","9416693009.01942","11850629333.2148","15239947702.5601","17339950737.3368","15157601912.042","15932658243.9633","16619865060.4691","16688402268.185","18207121879.9263","21876683316.2277","27137766083.9296","27113567994.3767","28710377436.0316","45146496902.0173","41787570051.7127","53039648400.9054","48384378867.8629","50503310610.8809","56481276358.0558","60069524431.5001","61394246348.2561","62860814885.7109","59844963702.0521","58656320747.9331","59657701007.3974","62160658841.1708","73205339037.17","86286547813.9971","90799813886.151","101090596365.103","115081759407.81","114475695004.275","95929513724.2103","99776029818.7584","110286823577.434","107693202496.975","111303269469.414","113518646246.55","97431410437.1576","100157497192.057","112119916109.798","122308610924.103","121592756662.634","84720873356.0808","102838265025.902","126169650491.071","147000106558.343",
"Italy","ITA","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","3635900000","4178200000","4659900000","5038400000","5907500000","7154300000","8026400000","8691100000","10150600000","11732900000","13174200000","15051200000","18532100000","22199800000","30458000000","34807000000","37230300000","45289400000","56031000000","72177200000","77612700000","75236400000","73413300000","72668600000","73247900000","78965100000","97753400000","116234000000","128380000000","140623000000","170275000000","169431000000","177309000000","168194000000","189684000000","232740000000","250552000000","238249000000","242678000000","235082000000","239904000000","244250000000","254484000000","299876000000","353554000000","372729000000","417223000000","500242000000","544635000000","406826000000","446895000000","523404000000","501546000000","518112000000","529797000000","456989000000","461737000000","507418000000","549526000000","537717000000","496120000000","","","",
"Italy","ITA","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","5.11840259633103","4.32722224881528","4.25974806326316","4.84280724039378","4.28269149386373","4.65454342143885","4.56368982358218","4.55523466534731","4.83419699328119","4.54789523476719","4.02832809582366","4.40828638248113","5.02209679421113","5.38788637735475","7.67581587760194","9.83307955296348","9.02651872265332","9.38056145588151","8.97681640520426","8.51986499891933","10.1935636822324","14.0897225279253","10.6364922977172","9.76405214907126","8.65826870121874","7.32006924578073","5.31889427886907","3.96398644114459","3.68406293815236","3.94445043041323","4.06057241804728","4.514578106415","4.54304782455487","4.39406753237928","3.66147800507054","3.01566871434261","3.18825273432262","3.25568328881422","3.39338297331938","3.28368339558112","3.33105882603041","3.64519207942682","3.86463358167901","3.87164133775294","3.95274868534934","3.99157849644111","3.65268493467522","3.89096658077491","4.84123370606002","5.53883313259231","5.52490170554605","4.26349928850372","4.5709957304016","4.95803431246526","4.54051588759468","4.19164023225942","3.99393768595542","3.7816167946348","3.59121172101047","3.13975969366786","2.82677817261953","","","",
"Italy","ITA","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","19.1479413625237","18.4457421856302","15.7728706624606","16.4139409336297","15.2196360558612","15.1601134981759","15.2870527260042","15.767854471816","15.4375110830887","14.2232525633049","13.8816778248395","13.4228500053152","13.1917052034038","13.12624438058","17.3057981482697","19.9732812365329","17.3326564652984","17.5564260069685","17.047170316432","15.8608258563646","18.401241034006","23.0682222966543","18.3518517761768","16.8080849225112","15.6646129104043","14.2383154076928","12.0776361742916","10.2440766040917","9.83543575598224","10.1483217080576","9.95789062961703","10.8237286536012","11.3607552461798","14.4018349438995","13.4865968407673","13.7602703249051","14.6095391876869","15.3516627660181","14.324037390889","12.1567438170511","13.1250140164399","14.0780154124872","14.4447621084233","14.5837312335765","15.3920655769699","16.3521226277","17.0311398182746","17.9598765779363","19.6677978332278","20.4916840369101","21.3538726636011","21.0704893088322","21.434422929502","22.1749590623263","20.972268639309","19.5498165091501","19.0231176321153","19.3793266943624","18.5859389461099","17.6973337363334","17.1206984576312","","","",
"Italy","ITA","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","1.55092777533484","1.44541757351774","2.1420819269226","2.31978010224621","1.86119640236727","1.50659862121057","1.83742613978568","1.67097449381197","1.66535577542924","1.4034872595168","1.2593128500378","1.34661923765168","1.57753437937375","1.24026567542986","1.31974238248424","1.30730757421038","1.44078204112424","1.38077194689872","1.57912968053835","1.43684765303751","1.31352875812171","1.48044749702282","1.47534516115089","1.41932040809457","1.27348696793305","1.24520362263582","1.52713619639599","1.61331287582756","1.41822092241844","1.32984318904349","1.2484051136312","1.21176118819508","1.31444877798816","1.42415954754849","1.27954554851851","1.29630137556662","1.28265353602292","1.2739282422982","1.38879346868573","1.33330567900006","1.32350167743371","1.29515403814363","1.43448920830144","1.48703124007983","2.05581028573271","1.99555279619232","1.80554016349422","1.64167033158873","2.15312731726185","2.27013694546359","2.0626853664562","1.98671514125351","2.00835153385994","1.9364198973376","1.90982215322686","2.07230848228764","2.09661768503966","2.1396705602172","2.36923313520368","2.89371816843881","2.84846667997646","2.3671450406078",
"Italy","ITA","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","5.58975385372496","5.51322146577216","5.05143214711308","5.44518991196707","5.85411625420883","6.1185759589527","5.96921109969688","5.11258371808476","5.06631749499639","5.43578789959852","4.42548785560285","5.66943147998615","7.80600792100067","5.82972469121877","5.69078847498839","5.613404543228","5.87840146767837","6.58164487591234","5.66128949039677","6.27934636156013","6.7956870218108","5.35667251468185","4.52962925863117","4.66983127945462","2.78926181772774","2.4381572605681","1.92865800074488","1.99103845878464","2.30560792310022","2.33080775609031","2.20925317836692","2.17010961921241","1.57976112828564","1.24769934757347","1.22530273526608","1.42417578637476","1.10087498289542","1.19363479156694","2.02151286901693","1.91041364323619","1.74600962390738","2.13590429760863","2.34086220980734","3.43872028627477","3.60007386240689","3.92041828636441","4.69330962737191","3.447934596545","4.63889398875227","4.76073239440413","4.69948477906981","4.27731648308039","3.73903759474597","3.2944073725625","2.66359462149532","3.27256233231097","3.47059417643658","3.04947553200783","2.14179213063523","3.09783025955749","4.97853512208366","3.62874175899833",
