"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"United States","USA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.44761666194219","9.81991629844101","9.31124462875945","9.4775575246075","8.89376628939517","8.13293488727949","7.30339894591822","6.68439974629017","6.15367843932288","5.55982236242186","5.51915007326843","6.66723897333368","5.62822466338611","","","","5.77441905204262","5.65759652724517","5.38608902581989","4.99137739474024","4.7309805911698","4.67094380497615","4.69159577578393","4.48344189666895","4.39829384641909","4.89298197697368","5.32165565328743","5.24392354938619","4.92984830231435","4.98594652688855","6.42075113420582","6.80746639329421","","",
"United States","USA","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020000","1300","","52000","901000","188000","34000","63000","1127000","1581000","1247000","916000","1715000","573000","675000","202000",
"United States","USA","Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval","VA.PER.RNK.UPPER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","100","","99.5024871826172","","100","100","95.1923065185547","95.6730804443359","92.3076934814453","93.2692337036133","94.711540222168","92.4170608520508","94.3127975463867","92.9577484130859","92.9577484130859","92.0187759399414","92.1182250976563","92.61083984375","93.596061706543","89.6551742553711","89.3203887939453","85.5072479248047","82.6086959838867","85.9903411865234","82.125602722168","",
"United States","USA","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.34866082668304","","1.33687722682953","","1.31016671657562","","1.34456813335419","1.33822762966156","1.327751994133","1.29452359676361","1.1016218662262","1.10981047153473","1.14426684379578","1.09722805023193","1.1336270570755","1.12696576118469","1.16158699989319","1.10301864147186","1.07124829292297","1.1098393201828","1.11025989055634","1.00634932518005","0.99573165178299","0.905322194099426","0.855865716934204","0.878146708011627","0.84512186050415","",
"United States","USA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240506015844","243004983889","150884049387","166039756444","166463697491","169065944865","169222381420","175881164582","175243750732","173921742498","154545029027","153808462622","153923490830","141538563122","169217253983","166435572426","",
"United States","USA","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United States","USA","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","4.07596785975164","3.39710864067942","4.51980014803849","5.29752953813104","5.12384836127473","4.70871020062247","3.94350817644815","4.22351353235281","3.07250771020061","1.95722037827301","2.13101705739169","2.00939681849279","1.4594730238394","1.30479765136423","1.45033809105081","1.95459399229305","1.47691238434473","1.07220555756996","1.18361216571405","1.11465685332162","1.2259577299661","1.06940691589424","1.28958157794399","1.45458714910291","1.4078110808356","1.40046524279859","1.20160422396586","1.00081865748083","1.26430153959932","1.11140130822509","1.00910773712071","0.774049546002258","0.708361749941303","0.868176457826304","0.675605760952115","0.831685308076382","0.810006070709309","0.771777679868433","0.706589941250981","0.668058304007134","0.597463954402465","0.660031243758772","0.769947566191373","0.869241439529589","1.04754661709199","1.10799639061028","1.26373446224168","1.79341871006029","1.68798264775559","1.92203688109678","1.88575253035249","1.88802251841509","1.67932748214517","1.64411202473344","1.5701155627345","1.6789989624278","1.79401382685561","2.02899148575643","2.39834376448108","2.47785088567564","2.32688831947918","","","",
"United States","USA","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","2.8536644752861","3.75017892075004","3.54367135455218","3.5703544575725","2.60912248904999","2.61919721787922","3.05876780992225","3.26031164650491","3.29527898485734","2.85548706601338","2.88069081048062","2.67768550108059","2.94102885821832","3.53359363953145","3.78000703870374","2.79771577139143","2.51857000130316","2.40300623001615","2.81022709889162","3.42652349435641","4.52494873547505","4.07356260902281","4.50892247729958","4.14785161994686","4.15205644088478","3.98218757914286","3.76256749422792","3.7166654142921","3.80575289321204","4.0233797098579","4.00804088169617","4.34224883061188","4.85435416969467","5.42180139580143","5.51282977390001","6.18826766102765","6.19994475333327","6.32205970240406","5.58162704512124","5.27033423905569","5.83260700358869","6.21374615950732","6.90823722872536","7.90099918208546","7.73057488494218","7.83944187157473","8.48287833055285","8.56365841281855","8.53993477525152","9.59157354930883","10.4477451878293","10.1042871112595","10.1271209681718","10.7760577966714","10.6120033256196","10.8250926948563","11.2517713451193","11.570554553542","10.4478866869562","9.81863148794726","12.2022229579206","","","",
"United States","USA","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","2.55174093011931","3.02018226060404","3.47427831236121","2.93018259935553","3.04712279111917","2.71782807545626","2.94036389469945","2.30978346968132","2.2740028815609","2.25488646541278","1.90657769304099","2.14758532573976","2.37490589711418","2.4989955018081","3.44937052284181","5.02716003528483","6.18565657443204","6.75709529617299","6.50604252715313","5.94804053497377","6.07510648988516","7.15514587679994","8.73513116582957","7.95710717721954","6.08987238415031","5.1292549549296","4.29520848472584","3.7716380663864","3.52064655023832","3.35927557998163","2.97538084701701","3.56834160365096","3.72617197544805","3.52546188396676","3.04250039534797","2.76573228065541","2.9623134220492","2.93995588263093","3.10805528697088","2.62059690819102","2.21143124301461","2.36377365510939","2.39463112418951","2.24835311802286","2.36659049214619","3.0427686142332","3.39573187783874","3.67176117451771","4.00560717472233","4.1547246217748","3.80722353991029","3.80027315572554","4.2524193883426","4.49807222676964","4.40644701242842","4.48270562692331","4.40735979665681","3.91171783929969","3.60289688506465","3.81704497775909","3.18921925774319","","","",
"United States","USA","ICT goods exports (% of total goods exports)","TX.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.0480976472","17.6023162755","16.0769598286","15.8485299335","15.2362848574","14.2965515135","13.5303547653","11.7174025773","10.6162575632","10.7084204671","10.5551422145","9.5092092683","9.0315767684","8.8766580243","8.965921416","9.4385216576","9.6474064631","9.4754929692","8.896843214","8.7421086474","9.6748491848","9.0652635512","","",
