STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,POLLUTANT,Pollutant,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,OBS_STATUS_4,Observation status 4,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period,DECIMALS,Decimals,CONVERSION_TYPE,Conversion type
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,NLD,Netherlands,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2007,,154.0529,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,NLD,Netherlands,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2008,,141.5867,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,NLD,Netherlands,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2009,,137.4148,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,NLD,Netherlands,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2010,,135.1118,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,NLD,Netherlands,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2011,,133.3366,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,NLD,Netherlands,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2012,,127.7504,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,NLD,Netherlands,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2013,,125.1775,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,NLD,Netherlands,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2014,,128.8555,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,NLD,Netherlands,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2015,,130.2558,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,NLD,Netherlands,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2016,,131.5864,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
