Year,NOC,Total Athletes,Medal Count,Average Age (M),Average Height (M),Average Weight (M),Average Age (F),Average Height (F),Average Weight (F)
1912,AUT,85,14.0,25.06293103448276,181.14285714285717,71.35714285714286,17.8,,
1912,BEL,36,19.0,25.866666666666667,180.0,80.75,24.0,,
1912,BOH,49,0.0,24.55720338983051,177.6,,,,
1912,CAN,37,8.0,26.352607709750565,181.22,76.57142857142857,,,
1912,CHI,14,0.0,26.153846153846157,174.0,,,,
1912,DEN,161,87.0,25.706955736224028,171.4,68.5,30.0,,
1912,FIN,164,71.0,31.449800020510715,176.140350877193,77.7122641509434,20.0,,
1912,FRA,119,26.0,28.72173962414126,174.42,77.23529411764706,19.0,,
1912,GBR,313,170.0,28.74411075036075,174.7872340425532,75.30952380952381,28.875,,
1912,GER,189,53.0,25.705835080363382,180.55555555555557,72.61363636363636,20.6,,
1912,GRE,27,2.0,30.68,183.0,93.5,,,
1912,HUN,125,30.0,23.704261198371146,177.06666666666666,69.42735042735043,,,
1912,IRL,6,0.0,24.0,,,,,
1912,ISL,2,0.0,23.0,,,,,
1912,ITA,66,25.0,23.09638554216868,179.88888888888889,70.0,,,
1912,JPN,2,0.0,24.5,170.0,64.0,,,
1912,LUX,21,0.0,24.295454545454547,,,,,
1912,NED,33,26.0,27.22222222222222,,,,,
1912,NOR,200,80.0,27.338076416337287,178.86805555555554,72.47745098039215,25.0,,
1912,POL,1,0.0,35.0,,,,,
1912,POR,6,0.0,21.142857142857142,,59.0,,,
1912,RSA,21,7.0,30.964285714285715,176.5,67.25,,,
1912,RUS,159,14.0,31.851282051282052,173.2173913043478,71.11904761904762,,,
1912,SRB,2,0.0,19.0,171.5,65.0,,,
1912,SUI,7,2.0,39.42857142857143,185.0,82.0,,,
1912,SWE,467,190.0,26.583833619210978,177.5179856115108,73.60176991150442,30.264516129032256,,
1912,TUR,2,0.0,26.142857142857142,173.0,71.0,,,
1912,UNK,2,0.0,,,,,,
1912,URS,5,5.0,29.4,,,,,
1912,USA,174,107.0,28.132596685082877,179.1605504587156,73.62222222222222,,,
1920,ARG,1,0.0,,,,,,
1920,AUS,13,7.0,24.42105263157895,175.73333333333332,68.0,26.0,,
1920,BEL,348,188.0,33.32266963109355,176.38888888888889,74.58333333333333,33.4,,
1920,BRA,19,7.0,35.42857142857143,174.5,,,,
1920,CAN,52,16.0,26.47058823529412,172.6216216216216,75.78571428571429,,,
1920,CHI,2,0.0,27.0,168.0,73.0,,,
1920,DEN,154,71.0,28.91561181434599,170.0,,25.857142857142858,,
1920,EGY,18,0.0,27.75,,74.0,,,
1920,ESP,62,23.0,25.718954248366014,176.3,68.8,,,
1920,EST,14,3.0,25.45,173.58333333333334,71.71428571428571,,,
1920,FIN,63,52.0,31.85925925925926,176.31147540983608,73.67213114754098,35.0,165.0,58.0
1920,FRA,312,141.0,33.25184016824395,175.2403100775194,71.58928571428571,21.333333333333332,,
1920,GBR,248,111.0,32.162114845938376,176.58490566037736,75.11904761904762,32.55797101449276,,
1920,GRE,47,5.0,28.88888888888889,178.0,72.5,,,
1920,IND,5,0.0,,,,,,
1920,ITA,174,84.0,27.22439024390244,179.65,75.6923076923077,25.0,,
1920,JPN,15,3.0,24.692307692307693,164.66666666666666,60.66666666666666,,,
1920,LUX,25,1.0,23.3125,176.0,91.25,,,
1920,MON,4,0.0,24.285714285714285,,,,,
1920,NED,130,50.0,25.649509803921568,184.0,78.0,18.0,,
1920,NOR,193,137.0,33.139873094452305,177.73333333333332,71.7,23.166666666666668,156.0,
1920,NZL,4,1.0,23.75,,,15.0,165.0,
1920,POR,13,0.0,30.0,183.0,,,,
1920,RSA,42,21.0,29.879227053140095,177.33333333333334,67.5,,,
1920,SUI,77,29.0,30.164383561643834,175.0,72.5,,,
1920,SWE,267,154.0,27.011599511599513,176.9090909090909,71.55932203389831,25.873015873015873,,
1920,TCH,122,10.0,30.39,171.45454545454547,70.0,22.0,,
1920,USA,288,194.0,27.527839643652563,177.64930555555554,74.17482517482517,20.272727272727277,161.58823529411765,
1920,YUG,15,0.0,22.2,,,,,
1924,ARG,81,10.0,21.21969696969697,176.5,77.2,,,
1924,AUS,37,11.0,26.163636363636364,177.3181818181818,68.73333333333333,,,
1924,AUT,53,8.0,28.83870967741936,178.0,76.33333333333333,24.666666666666668,,
1924,BEL,199,44.0,33.42037037037037,178.47058823529412,74.0,37.0,,
1924,BRA,12,0.0,23.142857142857142,182.0,70.0,,,
1924,BUL,24,0.0,23.142857142857142,172.0,66.0,,,
1924,CAN,77,29.0,26.28735632183908,174.7,78.55555555555556,15.0,,
1924,CHI,13,0.0,24.125,171.0,61.0,,,
1924,CUB,9,0.0,41.75,,,,,
1924,DEN,93,14.0,32.72537878787879,172.5,,22.84210526315789,168.0,
1924,ECU,3,0.0,21.0,,,,,
1924,EGY,24,0.0,25.285714285714285,,74.0,,,
1924,ESP,101,0.0,27.016806722689076,176.38888888888889,68.25,23.5,,
1924,EST,37,6.0,23.851063829787236,173.62962962962962,71.39393939393939,,,
1924,FIN,140,67.0,30.163107947805457,175.25225225225225,70.78703703703704,39.0,165.0,58.0
1924,FRA,456,120.0,31.427579365079367,174.3843537414966,71.09053497942386,29.48611111111111,163.75,45.0
1924,GBR,372,97.0,33.227104415094935,179.02482269503543,71.0952380952381,27.811538461538465,168.0,
1924,GRE,39,1.0,32.85,180.75,83.33333333333333,27.0,,
1924,HAI,8,5.0,20.5,171.0,63.5,,,
1924,HUN,97,22.0,31.339080459770116,175.85714285714286,71.3,32.333333333333336,,
1924,IND,23,7.0,29.527777777777775,,,29.0,,
1924,IRL,52,2.0,34.494623655913976,180.66666666666663,,29.0,,
1924,ITA,223,51.0,26.13974358974359,170.10344827586206,73.21739130434783,31.666666666666668,,
1924,JPN,23,1.0,25.28125,167.75,64.75,,,
1924,LAT,37,0.0,25.6046511627907,,83.5,,,
1924,LTU,13,0.0,22.77777777777778,170.0,,,,
1924,LUX,48,2.0,24.123809523809523,176.5,90.8,21.5,,
1924,MEX,15,0.0,23.33333333333333,175.0,,,,
1924,MON,7,1.0,27.55555555555556,,,,,
1924,NED,177,27.0,28.131578947368418,179.38888888888889,69.72727272727273,20.666666666666668,171.25,
1924,NEP,1,1.0,,,,,,
1924,NOR,78,39.0,29.076115485564305,180.4375,74.58333333333333,34.625,155.66666666666666,45.0
1924,NZL,4,1.0,20.25,170.0,63.0,19.0,165.0,
1924,PHI,1,0.0,23.0,,,,,
1924,POL,72,5.0,26.9,173.68852459016392,70.11475409836065,28.0,,
1924,POR,28,4.0,32.21951219512195,172.85714285714286,59.0,,,
1924,ROU,35,16.0,27.923076923076923,,,,,
1924,RSA,30,3.0,27.75,175.6,61.2,,,
1924,RUS,3,0.0,36.0,,,,,
1924,SUI,175,69.0,28.215721040189123,171.0,70.25,23.33333333333333,,
1924,SWE,194,81.0,29.69235588972431,175.3,70.4054054054054,29.319444444444443,,
1924,TCH,163,10.0,28.032085561497325,174.28571428571428,72.0,23.0,,
1924,TUR,22,0.0,25.571428571428573,,59.0,,,
1924,URU,26,14.0,23.166666666666668,176.1,75.0,,,
1924,USA,330,194.0,27.423931623931622,180.4314679643147,71.33620689655173,26.161290322580644,161.3125,64.75
1924,YUG,46,2.0,25.415584415584416,190.0,90.0,,,
1928,ARG,91,26.0,25.370192307692307,175.65217391304347,68.38888888888889,,,
1928,AUS,18,4.0,22.058823529411764,181.83333333333331,74.5,18.0,160.0,
1928,AUT,113,11.0,30.054054054054053,174.5,83.14285714285714,22.61904761904762,162.25,
1928,BEL,212,6.0,27.09692028985507,176.1818181818182,78.5909090909091,21.11111111111111,,
1928,BUL,5,0.0,30.3,172.0,66.0,,,
1928,CAN,92,45.0,24.451612903225808,174.23076923076923,62.32,20.928571428571427,169.0,58.083333333333336
1928,CHI,38,1.0,25.31578947368421,174.88888888888889,71.66666666666667,,,
1928,CUB,1,0.0,24.0,181.0,70.0,,,
1928,DEN,91,15.0,32.6438679245283,169.6,60.0,20.58333333333333,170.0,
1928,EGY,32,4.0,25.846153846153847,172.0,86.5,,,
1928,ESP,80,3.0,28.49431818181818,176.0,55.0,,,
1928,EST,22,9.0,28.4,174.5,80.28571428571429,,,
1928,FIN,87,29.0,24.66025641025641,172.82022471910113,68.24705882352941,26.0,165.0,58.0
1928,FRA,293,52.0,34.58233082706767,173.52631578947367,74.1304347826087,33.035714285714285,166.33333333333334,57.25
1928,GBR,303,60.0,29.76139350276833,179.26428571428573,84.78333333333333,31.215238095238096,168.5,
1928,GER,339,82.0,29.72983870967742,178.37931034482756,72.52380952380952,23.6046511627907,168.55,61.21052631578947
1928,GRE,23,0.0,21.85,177.0,73.33333333333333,,,
1928,HAI,2,1.0,23.666666666666668,168.66666666666666,59.66666666666666,,,
1928,HUN,122,21.0,30.04336734693878,178.92857142857142,86.66666666666667,22.33333333333333,,
1928,IND,21,14.0,24.53333333333333,176.25,,,,
1928,IRL,38,1.0,30.894736842105264,180.5,98.0,32.142857142857146,,
1928,ITA,187,72.0,30.22878787878788,171.57142857142858,72.71428571428571,15.36842105263158,,
1928,JPN,46,9.0,23.836734693877556,167.08333333333334,60.91666666666666,21.0,157.0,45.0
1928,LAT,18,0.0,37.73333333333333,,110.0,22.0,,
1928,LTU,13,0.0,25.77777777777778,185.0,,22.0,,
1928,LUX,53,1.0,25.86238532110092,169.0,69.26666666666667,20.0,,
1928,MEX,35,0.0,33.16129032258065,172.42857142857142,62.0,,,
1928,MLT,9,0.0,23.4,,,,,
1928,MON,10,0.0,25.22222222222222,164.0,93.0,,,
1928,NED,273,57.0,36.66016260162602,179.625,73.57142857142857,25.70909090909091,172.28571428571428,69.0
1928,NOR,81,24.0,34.97549019607843,180.68939393939394,81.0,17.333333333333332,155.0,45.0
1928,NZL,9,1.0,21.875,177.0,73.0,19.6,,
1928,PAN,1,0.0,22.0,,,,,
1928,PHI,4,1.0,22.75,170.0,73.0,,,
1928,POL,117,20.0,34.40127388535032,174.0151515151515,70.87692307692308,24.666666666666668,169.66666666666666,63.66666666666666
1928,POR,32,6.0,28.911764705882355,166.5,59.5,,,
1928,ROU,31,0.0,27.266666666666666,173.0,,17.0,,
1928,RSA,24,6.0,24.52173913043478,182.75,73.25,18.5,172.0,65.0
1928,SUI,174,42.0,30.796200345423145,183.85714285714286,68.25,35.0,,
1928,SWE,124,53.0,28.742316784869974,180.41666666666663,72.96875,22.444444444444443,,
1928,TCH,94,17.0,26.877551020408163,176.5,75.14285714285714,27.0,,
1928,TUR,31,0.0,22.545454545454547,,59.0,,,
1928,URU,17,17.0,26.11764705882353,174.75,74.75,,,
1928,USA,310,102.0,27.79315315315315,175.03881278538813,74.17948717948718,28.274853801169588,166.42857142857142,57.54545454545455
1928,YUG,40,12.0,25.97435897435897,173.42857142857142,69.0,,,
1928,ZIM,2,0.0,20.0,,,,,
1932,ARG,33,4.0,26.536585365853657,174.64444444444445,72.38461538461539,,,
1932,AUS,13,5.0,31.416666666666668,180.8,81.8,18.6,161.5,
1932,AUT,26,7.0,34.921052631578945,176.2,,20.75,161.0,
1932,BEL,41,1.0,28.68840579710145,175.66666666666666,65.0,27.11764705882353,168.0,
1932,BRA,59,0.0,25.54054054054054,176.42857142857142,67.2,17.0,168.0,
1932,BUL,2,0.0,39.0,,,,,
1932,CAN,146,59.0,34.072124756335285,179.22058823529412,69.46875,21.333333333333332,164.05,56.4
1932,CHN,1,0.0,22.0,,,,,
1932,COL,2,0.0,42.0,163.0,,,,
1932,CUB,3,0.0,,,,,,
1932,DEN,43,11.0,34.59722222222222,168.5952380952381,51.0,50.5,169.0,
1932,ESA,1,0.0,32.0,,,,,
1932,ESP,7,1.0,40.71428571428572,,,,,
1932,EST,2,0.0,29.666666666666668,170.33333333333334,66.0,,,
1932,FIN,47,32.0,25.525641025641026,173.52307692307693,68.48245614035088,,,
1932,FRA,111,42.0,29.72183098591549,164.58333333333331,66.57692307692308,42.333333333333336,165.0,
1932,GBR,128,37.0,30.221604938271607,179.1827956989247,75.0625,23.379310344827587,164.8095238095238,59.4
1932,GER,166,57.0,32.543055555555554,178.7942942942943,74.85714285714286,27.444444444444443,171.84615384615384,65.16666666666667
1932,GRE,10,0.0,23.77777777777778,176.5,70.6,,,
1932,GUA,1,0.0,,,,27.0,,
1932,HAI,3,0.0,29.0,171.0,63.5,,,
1932,HUN,62,35.0,31.851515151515155,180.52,77.31428571428572,26.833333333333332,,
1932,IND,19,15.0,23.55555555555556,174.8125,,,,
1932,IRL,16,2.0,32.583333333333336,179.0,82.0,,,
1932,ITA,128,77.0,31.7712215320911,170.96774193548387,67.5,,,
1932,JPN,173,31.0,26.049689440993788,166.02439024390245,60.2,17.727272727272727,164.0,60.0
1932,LAT,5,1.0,58.2,171.5,,,,
1932,LUX,3,0.0,43.54545454545455,,,,,
1932,MEX,73,2.0,26.29268292682927,174.1967213114754,79.8,20.5,169.0,
1932,MON,1,0.0,,,,,,
1932,NED,49,15.0,29.286163522012583,180.04545454545453,77.0,25.28,170.2,69.0
1932,NOR,26,10.0,25.435897435897434,176.55263157894737,71.25,35.5,157.5,45.0
1932,NZL,21,2.0,25.214285714285715,166.33333333333334,58.333333333333336,18.0,,
1932,PER,2,0.0,33.666666666666664,190.0,,,,
1932,PHI,8,3.0,23.125,170.0,73.0,,,
1932,POL,66,21.0,28.8125,173.31914893617022,74.1,26.25,169.75,62.0
1932,POR,6,0.0,35.75,170.57142857142858,,,,
