Country Name,Country Code,Series Name,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.30107545852661,..,8.02138996124268,..,4.78723382949829,..,4.7619047164917,4.7619047164917,6.40394067764282,1.46341466903687,1.95121955871582,0.970873773097992,0.485436886548996,0.956937789916992,0.952380955219269,0.473933637142181,1.42180097103119,0.947867274284363,5.28846168518066,5.7142858505249,3.80952382087708,3.80952382087708,4.7619047164917,5.7142858505249,4.7619047164917,12.380952835083,12.2641506195068,..
Africa Eastern and Southern,AFE,Control of Corruption: Percentile Rank,CC.PER.RNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Control of Corruption: Percentile Rank,CC.PER.RNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Control of Corruption: Percentile Rank,CC.PER.RNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.3548393249512,..,18.1818180084229,..,23.9361705780029,..,24.3386249542236,22.7513236999512,27.5862064361572,22.9268283843994,22.9268283843994,28.6407775878906,33.980583190918,34.9282302856445,37.1428565979004,24.6445503234863,25.1184825897217,24.1706161499023,34.1346168518066,36.1904754638672,37.6190490722656,40.476188659668,33.3333320617676,32.3809509277344,31.4285717010498,31.9047622680664,38.6792449951172,..
Algeria,DZA,Control of Corruption: Percentile Rank,CC.PER.RNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.3333320617676,..,22.9946517944336,..,16.4893608093262,..,22.7513236999512,29.6296291351318,29.0640392303467,40.9756088256836,35.1219520568848,33.009708404541,33.4951438903809,30.6220092773438,34.761905670166,34.5971565246582,36.0189590454102,39.3364944458008,31.25,30.4761905670166,30,31.9047622680664,28.5714282989502,28.0952377319336,27.619047164917,29.5238094329834,28.301887512207,..
American Samoa,ASM,Control of Corruption: Percentile Rank,CC.PER.RNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.8472900390625,77.5609741210938,64.8780517578125,66.019416809082,65.5339813232422,68.4210510253906,67.6190490722656,66.8246459960938,65.8767776489258,65.8767776489258,87.0192337036133,85.7142868041992,87.1428604125977,93.8095245361328,93.3333358764648,94.2857131958008,88.5714263916016,88.5714263916016,88.6792449951172,..
Andorra,AND,Control of Corruption: Percentile Rank,CC.PER.RNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.0967712402344,..,89.3048095703125,..,88.2978744506836,..,87.8306884765625,88.3597869873047,84.2364501953125,88.2926864624023,88.2926864624023,88.3495178222656,87.3786392211914,87.5598068237305,88.0952377319336,87.2037887573242,87.2037887573242,86.7298583984375,87.0192337036133,85.7142868041992,87.1428604125977,86.1904754638672,86.1904754638672,87.1428604125977,88.5714263916016,88.5714263916016,88.6792449951172,..
Angola,AGO,Control of Corruption: Percentile Rank,CC.PER.RNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.67741966247559,..,7.48663091659546,..,8.51063823699951,..,7.93650770187378,5.29100513458252,5.9113302230835,6.34146356582642,7.80487823486328,5.33980560302734,4.36893224716187,2.87081336975098,3.80952382087708,3.3175356388092,4.7393364906311,4.7393364906311,3.8461537361145,4.2857141494751,4.7619047164917,5.7142858505249,10.9523811340332,13.8095235824585,18.5714282989502,29.0476188659668,30.6603775024414,..
Antigua and Barbuda,ATG,Control of Corruption: Percentile Rank,CC.PER.RNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.1075286865234,..,80.748664855957,..,81.3829803466797,..,80.4232788085938,79.3650817871094,78.8177337646484,73.6585388183594,83.4146347045898,84.4660186767578,87.3786392211914,87.5598068237305,88.0952377319336,87.2037887573242,87.2037887573242,86.7298583984375,72.1153869628906,72.3809509277344,71.9047622680664,60.9523811340332,61.9047622680664,61.9047622680664,60.9523811340332,60.9523811340332,63.2075462341309,..
Arab World,ARB,Control of Corruption: Percentile Rank,CC.PER.RNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Control of Corruption: Percentile Rank,CC.PER.RNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.7634391784668,..,50.2673797607422,..,52.1276588439941,..,41.798942565918,40.2116394042969,39.9014778137207,43.4146347045898,43.4146347045898,44.1747589111328,39.8058242797852,40.1913871765137,44.761905670166,43.6018943786621,40.2843589782715,40.7582931518555,35.5769233703613,33.8095245361328,45.7142868041992,44.2857131958008,53.8095245361328,52.8571434020996,47.6190490722656,38.0952377319336,36.3207550048828,..
Armenia,ARM,Control of Corruption: Percentile Rank,CC.PER.RNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.1720428466797,..,21.9251327514648,..,25,..,28.0423278808594,31.7460308074951,28.5714282989502,29.7560977935791,29.7560977935791,26.2135925292969,28.1553401947021,30.1435413360596,27.619047164917,27.488151550293,33.1753540039063,36.0189590454102,35.0961532592773,31.4285717010498,30.9523811340332,30,40,48.0952377319336,56.1904754638672,57.6190490722656,56.1320762634277,..
