Country Name,Country Code,Series Name,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3727.04801015838,3787.47067903083,2919.28351130562,3454.2963342861,3492.69147434324,4005.20125846019,2382.33586178721,4330.96819128783,5730.72380988423,6815.32932969825,6957.41749889251,7464.4747368819,7383.70450960064,7690.15700254783,8176.77119517435,8250.67317414321,7735.32208018486,7666.51783423783,7168.97587232911,2579.48876933284,3333.15290388997,4258.16026060875,5086.62776073134,5890.97800169795,7210.59554755899,8977.50685093365,8184.38988923991,10385.9644319555,12848.7391514568,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2641396135,14613.0356486571,11795.1627452798,9963.67416171662,8500.83793850534,10650.8604604345,13650.6046294524,13730.5147090247
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,634.567327610033,572.16176273095,356.082212590475,347.466463257033,389.825286464953,441.89400183385,484.091640977405,501.156515236364,584.384267258527,575.62847915563,603.298025247115,676.150011307766,765.31617768154,910.171261745184,1166.63820390025,1608.16340758242,2109.5263835731,3064.27996263859,3908.94906011431,2917.36624185176,3143.0294799683,3462.68177840431,3643.71540108565,3833.15707396348,4017.22991449473,3666.14182210905,3679.95234740376,4041.99507105058,4391.92326991474,4828.50488626598,4505.86774175695,4972.78320361917,7018.05150434798,8715.76533622178
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6283.00144344602,7567.25364168664,9274.51415613905,10767.3962204623,11638.7337057728,12850.2157123975,13657.6706444765,14970.1523419526,16675.2784883673,17140.4333687405,17375.2253063755,18713.4253880988,19742.3167386832,19833.8267458639,21026.1670909022,20911.1927670907,21375.269123446,22050.589873287,24105.5241207717,24978.2216741187,25832.9255649671,27665.2994801174,29011.6390567532,25740.7702303087,24452.5887394376,26043.1563253011,25611.1757666902,26514.8689800777,26940.2641144313,28419.2645344661,28449.7129463044,29329.0817465959,30918.483584133,31902.8098183195,24008.1278217477,29127.7593841909,33300.8388187011,..
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1810.59744278609,1877.600224102,1854.64189048688,1967.10899053653,2131.38029982805,2281.01195611049,2343.81978965369,2580.11059164641,2724.1306715175,2991.38594710418,3304.83781989103,3495.14162747651,3949.37298705831,4770.61865788766,6482.83108182526,7003.74417971953,7486.59278090393,7775.49682097168,8252.65590400684,9294.35924726014,10208.6520092795,11853.5138178392,12778.9279166426,11515.6229187212,12421.4738665585,11441.1933019722,11391.6550473244,11650.8011879489,14284.5206885373,17834.2105593225,18248.9407092421,18859.4079561383,18623.7917363989,17699.5577392784,18129.4021863239,20448.1219685874,22021.7839065228,23646.6230457327,21479.1142020092,20712.6697805564,21870.4159669594,19695.7297379144,20301.8431713256,23718.1338501868,30836.7306824685,34479.7679298388,36595.7071548423,41051.6120652288,49701.2817843335,42816.5674002829,52147.0241942843,62609.6607161044,68078.0442283168,68198.4193446869,62558.2438786332,56758.8692027821,49918.7939327254,53954.553494614,57273.5204750079,55049.571919719,51868.2475567823,60697.2454358579,65077.676668821,64711.7656030565
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,943.610800103121,1040.80488478971,1097.31220193692,1177.16824200633,1280.47257652275,1386.50800721563,1499.92409701965,1583.34320067225,1692.2905712198,1841.2901422239,2058.76905087549,2380.97845801742,2924.04887899105,3890.72241941969,4630.75719737956,5285.62072414121,5678.38665810018,6810.62768469634,8205.4689771504,9793.76534815017,10869.5464940526,9385.24906398343,9410.34725652989,9537.40742043378,8991.06503963026,9172.09676001833,13083.0726621044,16392.7695234749,17578.6189397397,17468.9461372569,21680.989623313,22410.9117666654,24880.1641180361,24081.5277928004,25646.7006591684,30325.8495818396,29809.0767730821,26705.4785993891,27361.8751106437,27183.4759263956,24625.6007227434,24558.7636778868,26527.5930910347,32294.0488606559,36889.2335135194,38417.4577857677,40669.3269586152,46915.3374004507,51919.9835754226,48153.3240199631,46903.7615854343,51442.2762464407,48564.9173350875,50731.1272541847,51786.3771747905,44195.8175947748,45307.5878620429,47429.1584564387,51466.5565633634,50067.5857265892,48789.4978498872,53517.8904509612,52084.6811953372,56505.9682796867
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1238.27189274842,734.944232805688,60.2351205405972,209.530954548425,157.063549947072,314.55801908334,409.185543774103,505.516204188336,561.906807871869,573.893528734031,655.097249579917,703.670998584686,763.108895463487,883.692580745256,1045.0136328106,1578.36733030667,2472.95725732287,3851.33015175141,5574.46810432575,4950.39949009423,5843.5337683582,7189.81869211976,7495.86527658099,7875.34536661549,7890.84028062087,5500.50364628486,3880.6852276838,4147.1981423222,4739.7943123408,4805.75371765917,4229.91064904503,5408.04535175023,7770.594223351,7155.08360355897
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,1483.00368182207,1581.30397963404,1680.49484945793,1792.42227428747,1921.43723505182,2073.82969066231,2246.84945447817,2466.52008844272,2688.94425577987,3057.32296102325,3005.78439946974,3108.95437416976,3123.46377278902,3466.05497951571,3197.70234670092,2953.22491963087,3115.53838987656,3386.62638813683,3871.33980727016,5194.46237000173,5967.76788587365,6257.78659039464,6797.83096516882,7324.18655372676,8463.46499921216,9436.23274442434,9858.29572096139,10617.4052687995,10819.2680417121,11533.2607639373,11696.5113658614,11269.9505176448,11025.8783642405,10730.0009716689,11085.1471273516,11447.0178999446,11835.386789885,20415.7061749809,21665.3878591494,23991.7008043163,24849.6064784902,25234.1441512502,26590.1401788013,26204.8804986853,26393.4139538137,28280.870835298,28829.8493750425,29687.865215033,29013.6302870767,27120.6905452145,27046.6576651879,26644.9265775896,28059.6553953426,26956.5668352133,28201.556802208,29722.4068429349,29661.1410792573,30666.8838654704,31389.9269978552,32173.9581814182,24499.1647620617,27871.3723259771,32041.2503902591,34749.6382896736
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,1759.46334537232,1827.68910654495,2196.5723198028,2965.8520551128,3850.97156805455,3854.94886382975,5271.59189751692,6307.72882062866,6866.00354910824,7817.0873710577,9635.6388445495,10447.260503393,10601.6390079706,10492.4018148695,10593.2597357454,9559.42787793087,7709.41288640599,8266.63529284664,8709.93566351441,8780.05944218372,9295.21393720419,9803.44437532151,9743.05633633652,10305.7943962663,10671.0244271963,10851.3817981444,10964.9955991238,11061.8021073787,10455.7268909791,10877.2001175152,12738.7741181575,12291.8326130535,12819.9959353139,14230.29675298,15777.9636408956,17705.235163895,19057.7989047138,20883.5480311994,23155.821449155,19448.1832553789,21186.8143292279,23741.5574626702,25102.726348527,25790.7303121382,25464.760097715,22850.6653959938,22877.9351764172,24315.4975906804,25415.8466249472,25869.1129129041,23433.1872362574,26850.0033915702,30146.925026365,29084.3071297448
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,84.8253371946916,92.8551129373993,95.0478052237596,96.5522100227946,94.8675576834292,100.967875859392,106.85572352998,116.796320541279,116.940534816855,128.60792611519,133.142945229324,127.995452738207,90.6783655642567,113.665702670582,171.526205300576,260.351516093487,132.457485424647,123.514493421219,166.006422429598,190.035791699715,216.109852036488,235.038390676618,209.195741763058,193.409373077802,202.2878488379,232.165821783332,221.569619138886,241.794908533863,258.830534751186,274.389427801832,294.90465244279,283.382285281796,284.966977564282,292.425347405186,292.078819525013,322.087389769502,387.384863171262,395.318052357112,401.96518010266,404.486143135093,413.100185264402,410.048540904043,407.96296761642,440.714404819588,469.116458369252,493.043250641143,503.374634487573,552.337247034842,630.148307727773,698.503078776717,776.835743954765,856.178832752419,876.521652869848,973.828617573534,1108.52251321179,1236.4354555046,1659.88817301175,1815.47222007199,1963.31244102476,2122.03765230231,2233.76728192962,2457.96446570157,2687.89906307087,2529.08012688018
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,344.103978900915,365.271681776884,378.071130279335,423.500491094427,419.078986098109,441.834393310748,474.621845879431,524.807665346736,524.097741073983,587.683575756565,688.534666174412,770.886044405513,877.864367227752,1065.92309127022,1268.28582138455,1627.66038698269,1755.16598387689,1983.06384177488,2202.64495318948,2656.64734893189,3992.03633847153,4374.85175040801,4552.94447062093,4818.68387258313,5235.1341193735,5465.20358153324,5990.46012778123,6589.38314412748,7005.50280862194,7753.0256601994,7772.80875684304,7789.39137741124,7520.79073985827,7905.67680238599,8220.27611002786,8451.95859885549,8994.32406293315,9491.47543410699,10685.2606122975,11173.9493679991,11560.2459031879,11510.0404330443,11658.629036798,11998.1756941147,12828.4389489954,14173.7513776686,15595.1683461218,17225.5343643624,17570.7829148862,16314.6692184915,16507.4305360907,16924.066921731,16736.9218347773,16952.1344337493,16980.0270637458,17040.4176091311,17398.9870769319,17910.7830952014,18335.9500586368,19156.0398672282,17028.4137830299,17586.3300142247,20738.4511868198,22672.6154350731
