Country,ISO,Start Year,AID Contribution ('000 US$),Total Deaths,No. Injured,"Total Damage, Adjusted ('000 US$)"
Australia,AUS,1996,0,4,20,398822
Australia,AUS,1996,0,1,11,271968
United States of America,USA,1996,0,29,90,23506
Spain,ESP,1996,0,30,18,14958
Iran (Islamic Republic of),IRN,1997,452,100,2000,56948
Senegal,SEN,1997,0,20,29,1519
United States of America,USA,1997,0,70,150,949128
Iran (Islamic Republic of),IRN,1997,4211,1100,2600,144267
Iran (Islamic Republic of),IRN,1997,34407,1568,2600,189826
India,IND,1997,0,43,1500,70235
Czechia,CZE,1997,5046,29,2409,3511774
China,CHN,1997,0,103,8229,303721
Venezuela (Bolivarian Republic of),VEN,1997,251,80,683,153759
Thailand,THA,1997,0,90,64,19932
Bangladesh,BGD,1997,0,79,30,434701
China,CHN,1997,0,65,350,1100419
India,IND,1997,0,135,20,134776
Egypt,EGY,1997,0,3,283,28474
Taiwan (Province of China),TWN,1997,0,44,78,94913
China,CHN,1997,253,140,3000,5125291
Philippines,PHL,1997,0,18,5,9491
Thailand,THA,1997,0,46,394,74981
China,CHN,1997,0,7,349,626424
Belarus,BLR,1997,0,5,45,62642
Seychelles,SYC,1997,1038,5,2,3227
Indonesia,IDN,1997,12542,240,70,15186048
India,IND,1997,0,56,31,36447
Italy,ITA,1997,0,14,100,8589419
Indonesia,IDN,1997,0,20,300,2088
Mexico,MEX,1997,900,230,200,850039
Chile,CHL,1997,0,8,98,91116
Viet Nam,VNM,1997,10473,3682,857,892180
Azores Islands,AZO,1997,0,29,5,30942
Egypt,EGY,1997,0,18,60,1898
China,CHN,1997,0,300,18000,1950268
United States of America,USA,1997,0,5,24,189826
Viet Nam,VNM,1997,0,10,50,9491
Ecuador,ECU,1997,5679,218,91,514427
Peru,PER,1997,17184,518,730,22779
United States of America,USA,1997,0,9,24,949128
United States of America,USA,1998,0,42,100,280386
Afghanistan,AFG,1998,7454,2323,818,18692
United States of America,USA,1998,0,14,11,116827
China,CHN,1998,3668,49,12000,533668
Iran (Islamic Republic of),IRN,1998,0,84,2,183186
United States of America,USA,1998,0,43,135,374783
India,IND,1998,0,250,2500,18692
Tajikistan,TJK,1998,413,51,39,123370
Peru,PER,1998,0,75,12,13085
Afghanistan,AFG,1998,5042,4700,1935,18692
China,CHN,1998,131738,3656,123000,56077197
Türkiye,TUR,1998,0,10,47,1869240
United States of America,USA,1998,0,1,23,3739414
China,CHN,1998,0,100,15,1663624
Philippines,PHL,1998,0,25,100,6168
United States of America,USA,1998,0,18,150,1869240
India,IND,1998,98,2871,893,876674
United States of America,USA,1998,0,1,124,515910
Indonesia,IDN,1998,0,22,14,748
Russian Federation,RUS,1998,0,8,160,299078
Türkiye,TUR,1998,1740,145,1600,1028082
Bangladesh,BGD,1998,234100,1050,50,8037732
Azores Islands,AZO,1998,0,10,100,134585
Slovakia,SVK,1998,0,54,61,84116
Dominican Republic,DOM,1998,0,347,595,3703899
Philippines,PHL,1998,0,118,22,162695
Japan,JPN,1998,0,12,258,5607720
Republic of Korea,KOR,1998,0,55,3,48413
United States of America,USA,1998,0,9,13,93462
Philippines,PHL,1998,0,75,63,93462
Japan,JPN,1998,0,12,43,627130
Philippines,PHL,1998,0,332,751,132716
Viet Nam,VNM,1998,0,45,5,25609
Iran (Islamic Republic of),IRN,1998,0,46,22,94397
Nicaragua,NIC,1998,0,3332,228,1846248
Honduras,HND,1998,0,14600,12000,7091149
Ukraine,UKR,1998,2920,18,230,2353
Viet Nam,VNM,1998,0,283,92,174213
Haiti,HTI,1998,0,190,29,336463
Antigua and Barbuda,ATG,1998,0,2,25,186924
China,CHN,1998,1448,3,1543,130847
Indonesia,IDN,1998,0,33,88,373848
Philippines,PHL,1998,270,69,30,51215
South Africa,ZAF,1998,0,18,160,308425
China,CHN,1998,0,17,38,69536
Kyrgyzstan,KGZ,1998,0,4,600,15702
United States of America,USA,1998,0,4,19,842093
Germany,DEU,1998,0,3,15,280386
United States of America,USA,1998,0,1,6,934620
Colombia,COL,1999,32129,1186,8563,3397524
United States of America,USA,1999,0,18,112,366758
Philippines,PHL,1999,185,34,79,10975
United States of America,USA,1999,0,10,100,548765
India,IND,1999,25,100,394,3658
Australia,AUS,1999,0,1,24,2743824
United States of America,USA,1999,0,9,42,823147
United States of America,USA,1999,0,1,33,182922
China,CHN,1999,0,5,197,14634
United States of America,USA,1999,0,49,514,5048637
Pakistan,PAK,1999,897,231,155,20004
United States of America,USA,1999,0,2,14,366758
China,CHN,1999,0,725,24000,14816652
Azerbaijan,AZE,1999,0,1,18,9146
Mexico,MEX,1999,0,15,200,414866
Nepal,NPL,1999,0,170,68,3658
Tajikistan,TJK,1999,114,27,23,11257
Romania,ROU,1999,0,19,3,18292
Romania,ROU,1999,454,15,22,91461
Iran (Islamic Republic of),IRN,1999,571,51,100,78656
Japan,JPN,1999,0,45,28,195726
Democratic People's Republic of Korea,PRK,1999,0,42,94,3658
Philippines,PHL,1999,0,130,32,32926
United States of America,USA,1999,0,1,79,274382
Türkiye,TUR,1999,116413,17127,43953,36584326
South Africa,ZAF,1999,0,5,177,45730
China,CHN,1999,0,192,2600,508339
Greece,GRC,1999,1143,143,2000,7682708
Ghana,GHA,1999,1318,52,29,38414
Taiwan (Province of China),TWN,1999,39469,2264,8664,25791950
Honduras,HND,1999,25,34,1,2744
Japan,JPN,1999,0,26,438,9146081
United States of America,USA,1999,0,70,10,12804514
Mexico,MEX,1999,0,31,215,301455
Colombia,COL,1999,0,29,40,5
China,CHN,1999,0,18,500,117619
Philippines,PHL,1999,0,7,22,3293
Mexico,MEX,1999,1583,636,60,825525
China,CHN,1999,0,30,500,441939
India,IND,1999,0,84,1000,859732
Taiwan (Province of China),TWN,1999,0,1,254,1463
India,IND,1999,0,9843,3312,4573041
Viet Nam,VNM,1999,5748,622,412,433524
Türkiye,TUR,1999,14636,845,4948,1829216
France,FRA,1999,0,36,5,914608
China,CHN,1999,0,12,10,22
Venezuela (Bolivarian Republic of),VEN,1999,33610,30000,2700,5780323
Algeria,DZA,1999,15,22,175,111452
Indonesia,IDN,1999,0,5,220,7134
France,FRA,1999,0,88,11,14633730
Viet Nam,VNM,1999,1864,127,164,96948
China,CHN,1999,0,5,12,32926
Philippines,PHL,1999,0,6,40,3282
Philippines,PHL,1999,0,47,2,61818
Philippines,PHL,1999,0,11,23,7330
Philippines,PHL,1999,0,33,7,26844
United States of America,USA,2000,0,1,12,371587
China,CHN,2000,765,7,2528,130056
China,CHN,2000,0,1,2,855
China,CHN,2000,0,9,4,5485
Indonesia,IDN,2000,215,45,270,53084
Netherlands (Kingdom of the),NLD,2000,0,25,1000,452983
Philippines,PHL,2000,0,12,4,2125
Indonesia,IDN,2000,5031,103,2714,72548
China,CHN,2000,0,34,183,38928
Croatia,HRV,2000,0,40,200,424671
China,CHN,2000,0,43,10,33620
Greece,GRC,2000,0,27,176,5308
Türkiye,TUR,2000,0,11,300,1769
Philippines,PHL,2000,29,75,11,45587
Bulgaria,BGR,2000,0,7,17,31143
Viet Nam,VNM,2000,9402,460,4,442366
Canada,CAN,2000,0,11,140,23003
China,CHN,2000,0,11,500,849
Cambodia,KHM,2000,18970,347,53,283114
Republic of Korea,KOR,2000,0,13,3,40698
United States of America,USA,2000,0,1,15,14333
China,CHN,2000,0,203,214,304348
Nepal,NPL,2000,481,144,70,11148
Taiwan (Province of China),TWN,2000,0,14,100,238878
Viet Nam,VNM,2000,0,15,4,8847
China,CHN,2000,0,1,211,76087
China,CHN,2000,0,10,30,23513
China,CHN,2000,0,11,47,122877
India,IND,2000,0,179,16,306117
China,CHN,2000,0,4,80,18
China,CHN,2000,0,14,27,4247
Democratic People's Republic of Korea,PRK,2000,466,46,180,10616784
Japan,JPN,2000,0,9,41,2477250
Viet Nam,VNM,2000,0,5,29,37159
Japan,JPN,2000,0,18,110,13164812
United States of America,USA,2000,0,1,115,159252
Belize,BLZ,2000,2628,14,570,490955
Philippines,PHL,2000,0,154,314,30081
Taiwan (Province of China),TWN,2000,0,89,2,265420
United Kingdom of Great Britain and Northern Ireland,GBR,2000,0,12,4,2654196
Viet Nam,VNM,2000,0,36,3,26542
Thailand,THA,2000,0,51,570,101744
Azerbaijan,AZE,2000,341,31,600,17695
Indonesia,IDN,2000,1106,100,21,60162
Ukraine,UKR,2000,436,4,700,212336
Philippines,PHL,2000,0,48,26,1769
United States of America,USA,2000,0,12,75,884732
China,CHN,2001,0,49,78098,20650
Republic of Korea,KOR,2001,0,11,300,499041
El Salvador,SLV,2001,0,844,4723,2581246
Russian Federation,RUS,2001,0,145,120,172
Guatemala,GTM,2001,0,6,2,86
Australia,AUS,2001,0,1,30,20650
India,IND,2001,118929,20005,166812,4513739
Pakistan,PAK,2001,215,12,100,860
El Salvador,SLV,2001,0,315,3399,599709
Philippines,PHL,2001,0,55,84,10325
China,CHN,2001,0,3,109,41300
United States of America,USA,2001,0,1,400,3441661
United States of America,USA,2001,0,7,30,430208
Japan,JPN,2001,0,2,161,860415
Australia,AUS,2001,0,3,1,344166
United States of America,USA,2001,0,4,18,39579
China,CHN,2001,0,2,190,53346
Thailand,THA,2001,0,83,30,6883
China,CHN,2001,0,2,605,61950
Romania,ROU,2001,0,7,3,206500
Taiwan (Province of China),TWN,2001,0,9,116,8604
Peru,PER,2001,20777,145,2713,516249
Egypt,EGY,2001,0,19,21,17208
China,CHN,2001,0,11,3,41300
Viet Nam,VNM,2001,0,30,3,43021
Philippines,PHL,2001,0,232,241,117989
China,CHN,2001,0,33,8298,4720238
Taiwan (Province of China),TWN,2001,0,1,6,3442
China,CHN,2001,0,35,72,29254
Iran (Islamic Republic of),IRN,2001,0,32,34,43021
Pakistan,PAK,2001,436,210,179,423324
China,CHN,2001,0,19,22,103250
China,CHN,2001,0,46,17,8604
Viet Nam,VNM,2001,0,3,3,5507
Thailand,THA,2001,25,104,109,42160
Iran (Islamic Republic of),IRN,2001,732,412,200,135601
Japan,JPN,2001,0,9,40,1376664
United States of America,USA,2001,0,3,8,17208
Japan,JPN,2001,0,7,15,860415
Taiwan (Province of China),TWN,2001,0,80,200,1376664
United States of America,USA,2001,0,2,50,51625
Guatemala,GTM,2001,0,8,11,172
Democratic People's Republic of Korea,PRK,2001,2350,114,84,16176
Viet Nam,VNM,2001,0,20,6,8088
Cuba,CUB,2001,0,5,12,172083
Philippines,PHL,2001,434,290,147,39063
Algeria,DZA,2001,5739,921,423,516249
Viet Nam,VNM,2001,0,20,83,94646
Brazil,BRA,2001,0,6,341,8604
Brazil,BRA,2001,230,50,196,77437
Tajikistan,TJK,2001,0,1,15,1032
China,CHN,2001,0,66,3110,287379
Philippines,PHL,2001,0,6,8,165
China,CHN,2001,0,6,245,41300
Philippines,PHL,2002,0,11,8,664
Democratic Republic of the Congo,COD,2002,43504,200,400,15246
Mauritius,MUS,2002,10,3,50,84698
Indonesia,IDN,2002,10284,150,750,592887
Germany,DEU,2002,0,4,6,254095
Türkiye,TUR,2002,1982,42,327,160927
Thailand,THA,2002,0,1,100,3388
Bolivia (Plurinational State of),BOL,2002,4171,76,146,169396
Ecuador,ECU,2002,921,31,6,22022
Philippines,PHL,2002,0,15,100,2903
United States of America,USA,2002,0,6,4,339640
Canary Islands,SPI,2002,0,16,30,135387
Taiwan (Province of China),TWN,2002,0,4,200,42349
India,IND,2002,0,9,50,705
Georgia,GEO,2002,3376,6,70,592887
Oman,OMN,2002,0,7,33,84698
United States of America,USA,2002,0,1,12,6776
United States of America,USA,2002,0,10,100,3726720
Haiti,HTI,2002,50,31,4,1694
Syrian Arab Republic,SYR,2002,1466,21,20,16940
China,CHN,2002,0,22,1,84698
China,CHN,2002,4852,793,35257,5251287
Russian Federation,RUS,2002,5018,117,1200,762284
Iran (Islamic Republic of),IRN,2002,4244,227,1300,508189
Micronesia (Federated States of),FSM,2002,138,47,148,847
China,CHN,2002,0,5,44,143987
Philippines,PHL,2002,0,33,41,1694
Germany,DEU,2002,0,7,13,169396
Japan,JPN,2002,0,5,18,8470
China,CHN,2002,0,11,12,65387
Germany,DEU,2002,0,27,108,19649978
Romania,ROU,2002,0,1,1,491
Republic of Korea,KOR,2002,0,21,7,584417
Tajikistan,TJK,2002,3698,24,13,4804
India,IND,2002,0,33,50,33879
China,CHN,2002,0,178,311,7115
Algeria,DZA,2002,279,29,16,2541
Pakistan,PAK,2002,0,22,10,51
China,CHN,2002,0,26,40,169396
Mexico,MEX,2002,0,13,30,1084137
Viet Nam,VNM,2002,0,55,116,98250
Thailand,THA,2002,174,154,62,60690
Mexico,MEX,2002,450,3,200,338793
France,FRA,2002,0,4,3,1694
Viet Nam,VNM,2002,0,60,100,3388
Italy,ITA,2002,0,30,33,1348395
United States of America,USA,2002,0,36,115,1185775
Ecuador,ECU,2002,0,8,300,84698
Morocco,MAR,2002,1241,80,17,338793
Australia,AUS,2002,0,2,4,84698
China,CHN,2002,0,27,110,55901
Philippines,PHL,2002,0,42,2,5577
Philippines,PHL,2002,0,14,2,403
Philippines,PHL,2002,0,57,21,5658
Spain,ESP,2002,0,6,50,147375
South Africa,ZAF,2002,0,1,66,15246
Australia,AUS,2003,0,4,150,496909
Mexico,MEX,2003,229,29,1073,192635
China,CHN,2003,978,268,4000,260049
India,IND,2003,0,30,500,26502
New Caledonia,NCL,2003,300,2,100,66255
United States of America,USA,2003,0,6,200,8281813
Indonesia,IDN,2003,50,76,248,6561
Türkiye,TUR,2003,424,177,520,223609
United States of America,USA,2003,0,45,145,6625451
China,CHN,2003,0,38,5260,265018
Algeria,DZA,2003,10700,2266,10261,8281813
Philippines,PHL,2003,0,51,16,6625
American Samoa,ASM,2003,0,6,3,82818
Philippines,PHL,2003,0,13,3,4066
China,CHN,2003,6482,430,146000,13068702
Japan,JPN,2003,0,23,14,11595
China,CHN,2003,0,20,20,165636
China,CHN,2003,0,16,584,124227
Sudan,SDN,2003,5307,20,56,304771
Japan,JPN,2003,0,20,80,91100
China,CHN,2003,0,4,1000,276613
Iran (Islamic Republic of),IRN,2003,0,1,25,35887
China,CHN,2003,0,38,1000,399183
Japan,JPN,2003,0,1,93,82818
Japan,JPN,2003,0,2,773,932532
Russian Federation,RUS,2003,0,3,5,17557
Viet Nam,VNM,2003,0,52,29,53004
China,CHN,2003,0,3,56,99382
China,CHN,2003,0,9,43,66255
Viet Nam,VNM,2003,370,61,34,57973
Dominican Republic,DOM,2003,1574,9,3,70594
China,CHN,2003,0,11,73,3202
Philippines,PHL,2003,423,255,54,11595
Bolivia (Plurinational State of),BOL,2003,109,69,4,1656
United States of America,USA,2003,0,2,40,331273
Iran (Islamic Republic of),IRN,2003,130852,26796,22628,828181
Brazil,BRA,2003,0,161,470,501878
United States of America,USA,2003,0,4,18,662545
United States of America,USA,2003,0,4,4,82818
United States of America,USA,2003,0,4,40,5797269
Philippines,PHL,2003,0,8,1,2483
Indonesia,IDN,2004,0,1,40,19358
Niue,NIU,2004,0,1,2,64527
Algeria,DZA,2004,0,27,74,1290539
Indonesia,IDN,2004,211,37,682,1613
Morocco,MAR,2004,13218,628,926,645270
Madagascar,MDG,2004,12266,363,879,403294
Brazil,BRA,2004,0,4,60,564611
Democratic People's Republic of Korea,PRK,2004,40003,161,1300,658175
China,CHN,2004,0,7,207,9679
Philippines,PHL,2004,0,31,14,1613
Iran (Islamic Republic of),IRN,2004,0,35,278,266174
Brazil,BRA,2004,0,28,54,597
United States of America,USA,2004,0,5,37,1774492
Viet Nam,VNM,2004,0,14,5,11292
China,CHN,2004,0,47,500,582356
Philippines,PHL,2004,0,28,12,31726
Taiwan (Province of China),TWN,2004,0,28,6,645270
United States of America,USA,2004,0,4,6,274
Japan,JPN,2004,0,21,7,3145690
Viet Nam,VNM,2004,0,53,18,12905
Belgium,BEL,2004,0,23,130,161317
China,CHN,2004,0,133,4026,1774492
Spain,ESP,2004,0,3,100,4840
Russian Federation,RUS,2004,0,6,62,9679
China,CHN,2004,0,4,600,80659
China,CHN,2004,0,188,4000,3532851
Cuba,CUB,2004,120,4,5,1613174
Jamaica,JAM,2004,0,1,6,483952
China,CHN,2004,0,2,7,8066
Japan,JPN,2004,0,2,2,807
Taiwan (Province of China),TWN,2004,0,32,2,8066
Japan,JPN,2004,0,14,50,3226348
China,CHN,2004,0,222,10000,759805
Japan,JPN,2004,0,41,900,14518568
Dominican Republic,DOM,2004,79,11,9,477500
Haiti,HTI,2004,40208,2754,2620,80659
Japan,JPN,2004,0,25,89,1193749
Japan,JPN,2004,0,11,44,972744
Japan,JPN,2004,0,89,342,3710301
Japan,JPN,2004,49,40,3183,45168877
Philippines,PHL,2004,0,104,240,9679
Slovakia,SVK,2004,50,2,24,618330
Indonesia,IDN,2004,670,32,213,88725
Philippines,PHL,2004,17278,1619,1023,126150
Philippines,PHL,2004,0,8,8,54848
India,IND,2004,0,16389,6913,1649955
Sri Lanka,LKA,2004,0,35399,23176,2123744
Maldives,MDV,2004,0,102,2214,758353
Malaysia,MYS,2004,0,80,767,806587
Somalia,SOM,2004,0,298,283,161317
Thailand,THA,2004,0,8345,8457,1613174
Slovenia,SVN,2004,0,1,5,16132
China,CHN,2004,0,6,100,6453
Germany,DEU,2005,0,2,2,421265
Australia,AUS,2005,0,12,20,62410
United States of America,USA,2005,0,28,8,312048
Venezuela (Bolivarian Republic of),VEN,2005,83,76,42,78012
Pakistan,PAK,2005,1300,520,450,46807
Colombia,COL,2005,154,56,117,15602
Iran (Islamic Republic of),IRN,2005,1785,612,1411,124819
Japan,JPN,2005,0,1,735,624096
South Africa,ZAF,2005,0,2,58,31205
China,CHN,2005,0,19,55,26391
Somalia,SOM,2005,0,5,20,31
China,CHN,2005,0,117,25,70211
Chile,CHL,2005,150,11,182,7801
China,CHN,2005,0,58,230,947065
Haiti,HTI,2005,0,40,36,78012
Portugal,PRT,2005,0,15,136,2574395
Spain,ESP,2005,0,11,1,3198490
Taiwan (Province of China),TWN,2005,0,12,34,156024
China,CHN,2005,0,8,223,232476
India,IND,2005,12,1200,55,5195596
Nigeria,NGA,2005,0,60,4,229
Thailand,THA,2005,0,21,40,188789
China,CHN,2005,0,52,46,1424498
Taiwan (Province of China),TWN,2005,0,3,59,59289
Japan,JPN,2005,0,32,140,1560239
China,CHN,2005,0,16,23,874
China,CHN,2005,0,25,8,2730418
Viet Nam,VNM,2005,717,75,28,342082
Taiwan (Province of China),TWN,2005,0,2,46,156024
Guatemala,GTM,2005,25257,1513,386,1541984
India,IND,2005,0,1309,6622,1560239
Pakistan,PAK,2005,0,73338,128309,8113243
Germany,DEU,2005,0,1,165,468072
Russian Federation,RUS,2006,0,116,14,1511480
Japan,JPN,2005,0,100,1010,51488
Indonesia,IDN,2006,0,156,13,40810
Bolivia (Plurinational State of),BOL,2006,2932,25,21,52902
Philippines,PHL,2006,5494,1126,19,3330
Indonesia,IDN,2006,0,39,39,37787
United States of America,USA,2006,0,10,42,1813776
Iran (Islamic Republic of),IRN,2006,5315,63,1418,63878
United States of America,USA,2006,0,28,36,906888
United States of America,USA,2006,0,12,160,2418368
China,CHN,2006,0,21,461,503323
Indonesia,IDN,2006,88051,5778,137883,4685587
Indonesia,IDN,2006,144,236,56,83434
China,CHN,2006,0,42,9,16626
Viet Nam,VNM,2006,0,4,100,1511
Indonesia,IDN,2006,3817,802,543,83131
Ecuador,ECU,2006,8040,5,13,226722
United States of America,USA,2006,0,1,17,24184
Tajikistan,TJK,2006,257,3,19,33253
India,IND,2006,4474,350,65,5123916
Ethiopia,ETH,2006,0,498,96,4837
China,CHN,2006,0,441,1350,3793814
Viet Nam,VNM,2006,0,42,20,12092
Hungary,HUN,2006,0,5,300,15115
Japan,JPN,2006,0,10,448,3778699
Philippines,PHL,2006,0,228,406,170797
Viet Nam,VNM,2006,0,71,525,943163
United States of America,USA,2006,0,4,1,37787
United States of America,USA,2006,0,12,20,143591
Philippines,PHL,2006,0,34,58,13720
Sri Lanka,LKA,2006,289,25,2,4534
Türkiye,TUR,2006,0,47,15,479139
Philippines,PHL,2006,14414,1399,2143,100362
Viet Nam,VNM,2006,467,95,1360,689235
China,CHN,2006,0,17,58,426237
Brazil,BRA,2007,0,59,80,183695
Belgium,BEL,2007,0,2,2,661301
Germany,DEU,2007,0,11,130,8082569
United States of America,USA,2007,0,65,220,734779
Indonesia,IDN,2007,6102,68,1,1426941
United States of America,USA,2007,0,20,20,881735
Indonesia,IDN,2007,1877,67,826,293912
Madagascar,MDG,2007,18703,80,16,352694
Japan,JPN,2007,0,1,359,367389
Bangladesh,BGD,2007,0,120,60,20574
China,CHN,2007,0,43,50,114626
China,CHN,2007,0,3,329,502589
Japan,JPN,2007,0,9,1000,18369474
Sudan,SDN,2007,46924,150,335,440867
Japan,JPN,2007,0,5,12,88173
China,CHN,2007,0,535,4000,6503756
China,CHN,2007,0,21,239,10581
Nepal,NPL,2007,0,214,48,3527
China,CHN,2007,0,83,142,483485
Viet Nam,VNM,2007,4439,74,130,191043
Russian Federation,RUS,2007,0,2,12,617214
Philippines,PHL,2007,0,7,7,723
Pakistan,PAK,2007,0,44,20,480719
Switzerland,CHE,2007,0,1,1,514345
Democratic People's Republic of Korea,PRK,2007,46988,610,518,440867
Dominica,DMA,2007,0,2,30,29391
Martinique,MTQ,2007,0,1,6,440867
Peru,PER,2007,52191,593,1366,881735
Bulgaria,BGR,2007,0,1,9,3606
United States of America,USA,2007,0,26,40,1028691
Greece,GRC,2007,0,65,64,2571726
Indonesia,IDN,2007,687,25,82,734779
Viet Nam,VNM,2007,0,96,150,280686
Republic of Korea,KOR,2007,0,20,2,102869
Viet Nam,VNM,2007,0,64,80,2939
Japan,JPN,2007,0,4,82,1469558
United States of America,USA,2007,0,8,64,3673895
Viet Nam,VNM,2007,0,83,42,440867
Taiwan (Province of China),TWN,2007,0,18,67,51435
Bangladesh,BGD,2007,215214,4234,55282,3379983
Philippines,PHL,2007,0,29,6,7348
Philippines,PHL,2007,0,20,11,1470
United States of America,USA,2007,0,17,28,1469558
Chile,CHL,2007,0,2,155,146956
United States of America,USA,2007,0,24,2,734779
Bolivia (Plurinational State of),BOL,2007,26053,75,24,734779
United States of America,USA,2007,0,12,40,514345
United States of America,USA,2007,0,4,27,440867
United States of America,USA,2008,0,59,150,1839794
Madagascar,MDG,2008,28487,93,580,84914
Philippines,PHL,2008,38,63,37,43494
Poland,POL,2008,0,2,10,70761
Mozambique,MOZ,2008,8166,9,13,28305
United States of America,USA,2008,0,2,27,636852
Myanmar,MMR,2008,607329,138366,20000,5660904
China,CHN,2008,303663,87476,366596,120294216
United States of America,USA,2008,0,22,150,990658
Philippines,PHL,2008,0,64,33,140354
United States of America,USA,2008,0,7,70,2264362
Japan,JPN,2008,0,23,448,236343
Philippines,PHL,2008,4636,644,826,402906
Japan,JPN,2008,0,1,200,155675
China,CHN,2008,0,1,6,103312
Philippines,PHL,2008,0,10,2,57
Taiwan (Province of China),TWN,2008,0,26,8,22644
Viet Nam,VNM,2008,0,162,90,169827
Pakistan,PAK,2008,0,36,12,145768
"China, Hong Kong Special Administrative Region",HKG,2008,0,2,112,538
Philippines,PHL,2008,0,38,13,47934
China,CHN,2008,0,40,589,696291
Philippines,PHL,2008,0,37,17,10501
Viet Nam,VNM,2008,0,46,61,89159
Taiwan (Province of China),TWN,2008,0,3,60,127370
Taiwan (Province of China),TWN,2008,0,22,20,37362
Algeria,DZA,2008,0,93,50,492499
Viet Nam,VNM,2008,0,29,4,5661
Yemen,YEM,2008,112646,90,64,566090
Pakistan,PAK,2008,15792,166,320,14152
Brazil,BRA,2008,426,151,15,1061420
Panama,PAN,2008,229,12,5,14152
Viet Nam,VNM,2008,0,17,8,1415
Philippines,PHL,2008,0,1,40,396
Philippines,PHL,2008,0,7,1,245
Philippines,PHL,2008,0,2,1,208
Philippines,PHL,2008,0,6,3,5855
United States of America,USA,2008,0,24,148,14152261
India,IND,2008,0,111,50,35381
South Africa,ZAF,2008,0,34,25,608547
Colombia,COL,2008,0,11,54,14152
China,CHN,2008,0,10,100,32550
United States of America,USA,2008,0,13,40,457118
Indonesia,IDN,2009,0,5,250,14203
Costa Rica,CRI,2009,413,31,91,284055
Philippines,PHL,2009,110,33,15,9024
Australia,AUS,2009,0,180,500,1846358
United States of America,USA,2009,0,2,60,235766
Italy,ITA,2009,0,295,1000,3550689
Madagascar,MDG,2009,0,15,10,7101
United States of America,USA,2009,0,9,72,2414469
Philippines,PHL,2009,0,77,53,43094
Afghanistan,AFG,2009,0,39,16,28406
Philippines,PHL,2009,0,29,8,36657
Bangladesh,BGD,2009,14239,190,7103,383474
Honduras,HND,2009,0,7,136,142028
China,CHN,2009,0,52,215,887672
China,CHN,2009,0,15,181,93738
Philippines,PHL,2009,0,16,5,6080
China,CHN,2009,0,1,336,447387
China,CHN,2009,0,54,4,197418
United States of America,USA,2009,0,16,50,3550689
Japan,JPN,2009,0,1,319,568110
China,CHN,2009,0,8,4,2010534
Philippines,PHL,2009,0,26,18,35507
Taiwan (Province of China),TWN,2009,3711,630,46,355069
Russian Federation,RUS,2009,0,75,14,1874764
Indonesia,IDN,2009,0,128,1442,227244
Türkiye,TUR,2009,0,40,20,781152
China,CHN,2009,0,13,58,418983
Lao People's Democratic Republic,LAO,2009,12769,16,91,142028
Philippines,PHL,2009,105548,501,529,337300
Viet Nam,VNM,2009,0,182,860,1114916
Tonga,TON,2009,0,9,7,13493
Samoa,WSM,2009,0,148,310,176171
Indonesia,IDN,2009,77768,1195,1798,3124607
Philippines,PHL,2009,646,512,207,831400
Japan,JPN,2009,0,4,119,1420276
Italy,ITA,2009,0,35,140,28406
Nepal,NPL,2009,0,87,62,85217
Burkina Faso,BFA,2009,15101,9,1000,213041
Philippines,PHL,2009,0,39,20,21580
Viet Nam,VNM,2009,1760,124,145,397677
Indonesia,IDN,2009,0,2,100,3451
India,IND,2009,0,70,8,90898
China,CHN,2009,0,41,96,1462884
India,IND,2009,0,11,135,284055
Philippines,PHL,2009,0,4,13,17
United States of America,USA,2009,0,1,2,2840552
Philippines,PHL,2009,0,14,10,4102
China,CHN,2009,0,20,38,46869
Mongolia,MNG,2009,0,5,7,88057
United States of America,USA,2009,0,6,25,2130414
Haiti,HTI,2010,3518530,222570,300000,11178868
Philippines,PHL,2010,0,2,2,109
China,CHN,2010,0,30,1100,125762
French Polynesia,PYF,2010,0,1,11,15371
China,CHN,2010,0,1,15,6148
Portugal,PRT,2010,50,43,18,1886434
France,FRA,2010,0,53,79,5910827
Chile,CHL,2010,68705,562,10334,41920756
Kazakhstan,KAZ,2010,0,44,700,48315
Brazil,BRA,2010,151,256,403,279472
Mexico,MEX,2010,0,2,232,1606962
United States of America,USA,2010,0,11,17,27947170
Colombia,COL,2010,0,418,463,1397359
China,CHN,2010,8380,2968,12000,698679
Tajikistan,TJK,2010,514,73,300,285061
China,CHN,2010,0,29,190,86987
United States of America,USA,2010,0,5,58,3772868
Guatemala,GTM,2010,0,174,154,908283
Honduras,HND,2010,0,18,4,125762
El Salvador,SLV,2010,0,10,3,27947
Ukraine,UKR,2010,0,6,59,2655
Philippines,PHL,2010,0,146,91,12122
Pakistan,PAK,2010,2653281,1985,2946,13274906
Russian Federation,RUS,2010,700,53,996,2515245
China,CHN,2010,0,1765,200,1060595
Viet Nam,VNM,2010,0,14,20,61484
Guatemala,GTM,2010,0,53,56,698679
United States of America,USA,2010,0,8,60,349340
Taiwan (Province of China),TWN,2010,0,2,100,88173
Philippines,PHL,2010,0,6,9,4410
Jamaica,JAM,2010,68,15,26,209604
Nigeria,NGA,2010,0,40,200,41921
Indonesia,IDN,2010,0,291,3417,108994
Viet Nam,VNM,2010,0,84,75,199124
Hungary,HUN,2010,0,9,150,143928
Philippines,PHL,2010,6456,35,42,385315
Myanmar,MMR,2010,0,45,49,79649
