Year,NOC,Total Athletes,Medal Count,Average Age (M),Average Height (M),Average Weight (M),Average Age (F),Average Height (F),Average Weight (F),Country Name,Armed forces personnel (% of total labor force),"Compulsory education, duration (years)",Control of Corruption: Percentile Rank,Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),Government Effectiveness: Percentile Rank,"Government expenditure on education, total (% of GDP)","International tourism, expenditures (current US$)",Military expenditure (% of GDP),"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Political Stability and Absence of Violence/Terrorism: Percentile Rank,Population growth (annual %),"Population, total",Rule of Law: Percentile Rank,Strength of legal rights index (0=weak to 12=strong),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
1904,RSA,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,SUI,3,3.0,22.571428571428573,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,USA,709,397.0,27.561580846781997,173.1505707762557,70.65051282051283,51.9,,,,,,,,,,,,,,,,,,,,,,,,
1906,AUS,4,3.0,24.5,172.2,62.0,,,,,,,,,,,,,,,,,,,,,,,,,
1906,AUT,31,9.0,26.5,179.85714285714286,114.0,,,,,,,,,,,,,,,,,,,,,,,,,
1906,BEL,17,12.0,24.194444444444443,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,
1906,BOH,13,3.0,24.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,CAN,3,2.0,25.0,176.66666666666666,69.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,,
1906,CRT,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,DEN,49,34.0,25.92171717171717,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,EGY,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,FIN,4,4.0,27.61111111111111,180.8571428571429,92.85714285714286,,,,,,,,,,,,,,,,,,,,,,,,,
1906,FRA,73,72.0,25.87996031746032,172.28,68.6,21.0,,,,,,,,,,,,,,,,,,,,,,,,
1906,GBR,56,42.0,25.667874396135264,178.62962962962962,72.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,
1906,GER,49,30.0,26.1896551724138,179.97560975609755,75.97560975609755,,,,,,,,,,,,,,,,,,,,,,,,,
1906,GRE,333,104.0,24.645714285714288,182.44444444444449,83.83333333333334,26.0,,,,,,,,,,,,,,,,,,,,,,,,
1906,HUN,35,13.0,22.015873015873016,180.8333333333333,76.57142857142857,,,,,,,,,,,,,,,,,,,,,,,,,
1906,ITA,81,56.0,22.827380952380956,171.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,
1906,NED,16,6.0,25.632653061224488,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,NOR,32,25.0,27.49090909090909,172.5,80.0,,,,,,,,,,,,,,,,,,,,,,,,,
1906,SUI,9,12.0,34.888888888888886,172.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,SWE,39,21.0,24.926315789473684,179.23809523809524,78.75862068965517,,,,,,,,,,,,,,,,,,,,,,,,,
1906,TUR,1,0.0,13.0,173.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,
1906,USA,38,24.0,24.91358024691358,180.271186440678,71.52542372881356,,,,,,,,,,,,,,,,,,,,,,,,,
1908,ANZ,30,19.0,23.74418604651163,175.45454545454547,67.0,,,,,,,,,,,,,,,,,,,,,,,,,
1908,ARG,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,AUT,7,1.0,23.0,180.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,
1908,BEL,70,33.0,28.34920634920635,173.5,68.88888888888889,,,,,,,,,,,,,,,,,,,,,,,,,
1908,BOH,19,6.0,26.392857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,CAN,91,52.0,24.845117845117844,181.9960317460317,73.78451178451178,,,,,,,,,,,,,,,,,,,,,,,,,
1908,DEN,78,17.0,25.5,168.33333333333334,75.75,,,,,,,,,,,,,,,,,,,,,,,,,
1908,FIN,62,30.0,24.49462365591398,180.0,80.8409090909091,,,,,,,,,,,,,,,,,,,,,,,,,
1908,FRA,208,40.0,31.507738853503184,174.77777777777777,71.25,,,,,,,,,,,,,,,,,,,,,,,,,
1908,GBR,768,368.0,32.460941848828845,180.52380952380952,80.20031840140535,27.217741935483872,,,,,,,,,,,,,,,,,,,,,,,,
1908,GER,86,21.0,21.86556603773585,175.72727272727272,72.56818181818181,22.5,,,,,,,,,,,,,,,,,,,,,,,,
1908,GRE,29,13.0,27.214285714285715,173.8,77.96581196581197,,,,,,,,,,,,,,,,,,,,,,,,,
1908,HUN,65,20.0,24.41011235955056,182.75,73.38888888888889,,,,,,,,,,,,,,,,,,,,,,,,,
1908,IRL,12,12.0,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,ISL,1,0.0,24.0,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,ITA,66,8.0,23.011904761904763,178.25,72.75,,,,,,,,,,,,,,,,,,,,,,,,,
1908,NED,113,16.0,23.885514018691588,188.2,69.75,,,,,,,,,,,,,,,,,,,,,,,,,
1908,NOR,69,42.0,27.351477320016645,177.33333333333331,74.75,,,,,,,,,,,,,,,,,,,,,,,,,
1908,RSA,14,2.0,26.59090909090909,170.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,
1908,RUS,6,3.0,33.0,177.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,
1908,SUI,1,0.0,25.0,185.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,
1908,SWE,168,84.0,32.27628205128205,178.2549019607843,76.84210526315789,30.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,
1908,USA,122,65.0,26.36448598130841,179.47619047619048,76.14893617021276,,,,,,,,,,,,,,,,,,,,,,,,,
1912,ANZ,25,10.0,25.53703703703704,183.75,80.25,21.0,,,,,,,,,,,,,,,,,,,,,,,,
1912,AUT,85,14.0,25.06293103448276,181.1428571428572,71.35714285714286,17.8,,,,,,,,,,,,,,,,,,,,,,,,
1912,BEL,36,19.0,25.866666666666667,180.0,80.75,24.0,,,,,,,,,,,,,,,,,,,,,,,,
1912,BOH,49,0.0,24.55720338983051,177.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,CAN,37,8.0,26.352607709750565,181.22,76.57142857142857,,,,,,,,,,,,,,,,,,,,,,,,,
1912,CHI,14,0.0,26.15384615384616,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,DEN,161,87.0,25.706955736224028,171.4,68.5,30.0,,,,,,,,,,,,,,,,,,,,,,,,
1912,FIN,164,71.0,31.449800020510715,176.140350877193,77.7122641509434,20.0,,,,,,,,,,,,,,,,,,,,,,,,
1912,FRA,119,26.0,28.72173962414126,174.42,77.23529411764706,19.0,,,,,,,,,,,,,,,,,,,,,,,,
1912,GBR,313,170.0,28.74411075036075,174.7872340425532,75.30952380952381,28.875,,,,,,,,,,,,,,,,,,,,,,,,
1912,GER,189,53.0,25.705835080363386,180.5555555555556,72.61363636363636,20.6,,,,,,,,,,,,,,,,,,,,,,,,
1912,GRE,27,2.0,30.68,183.0,93.5,,,,,,,,,,,,,,,,,,,,,,,,,
1912,HUN,125,30.0,23.704261198371142,177.06666666666666,69.42735042735043,,,,,,,,,,,,,,,,,,,,,,,,,
1912,IRL,6,0.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,ISL,2,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,ITA,66,25.0,23.09638554216868,179.88888888888889,70.0,,,,,,,,,,,,,,,,,,,,,,,,,
1912,JPN,2,0.0,24.5,170.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,
1912,LUX,21,0.0,24.295454545454547,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,NED,33,26.0,27.22222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,NOR,200,80.0,27.338076416337287,178.86805555555554,72.47745098039215,25.0,,,,,,,,,,,,,,,,,,,,,,,,
1912,POL,1,0.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,POR,6,0.0,21.142857142857142,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,
1912,RSA,21,7.0,30.964285714285715,176.5,67.25,,,,,,,,,,,,,,,,,,,,,,,,,
1912,RUS,159,14.0,31.85128205128205,173.2173913043478,71.11904761904762,,,,,,,,,,,,,,,,,,,,,,,,,
1912,SRB,2,0.0,19.0,171.5,65.0,,,,,,,,,,,,,,,,,,,,,,,,,
1912,SUI,7,2.0,39.42857142857143,185.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,
1912,SWE,467,190.0,26.583833619210974,177.5179856115108,73.60176991150442,30.264516129032256,,,,,,,,,,,,,,,,,,,,,,,,
1912,TUR,2,0.0,26.142857142857142,173.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,
1912,UNK,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,URS,5,5.0,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,USA,174,107.0,28.13259668508288,179.1605504587156,73.62222222222222,,,,,,,,,,,,,,,,,,,,,,,,,
1920,ARG,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,AUS,13,7.0,24.42105263157895,175.73333333333332,68.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,
1920,BEL,348,188.0,33.32266963109355,176.38888888888889,74.58333333333333,33.4,,,,,,,,,,,,,,,,,,,,,,,,
1920,BRA,19,7.0,35.42857142857143,174.5,,,,,,,,,,,,,,,,,,,,,,,,,,
