"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"France","FRA","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Voice and Accountability: Standard Error","VA.STD.ERR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.208055749535561","","0.21355502307415","","0.202215626835823","","0.187490850687027","0.186603337526321","0.175457552075386","0.168726220726967","0.149886071681976","0.141107872128487","0.142368465662003","0.141109019517899","0.143270000815392","0.137023910880089","0.131551519036293","0.128818422555923","0.140035927295685","0.142727702856064","0.140228122472763","0.120665617287159","0.122449710965157","0.121885105967522","0.110348202288151","0.109826661646366","0.10886125266552","",
"France","FRA","Voice and Accountability: Number of Sources","VA.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","7","","8","","9","9","9","10","12","13","13","13","12","13","13","13","11","11","11","12","12","11","10","10","10","",
"France","FRA","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.0995373655407","21.4329214115065","24.0914869416335","26.2948277913036","25.0896226972951","26.6626605557059","27.1559979226953","27.4407037954667","28.1846092902506","27.9094627128882","25.9970054154372","25.9170336616783","26.9114445946556","23.1243647638945","21.8794982129141","20.7563599846138","",
"France","FRA","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.6393823366","60.3457325228","59.6810601597","63.3327089039","64.2996227114","64.5516280132","63.8755257903","65.5229120239","77.4376453447","89.302307646","91.538709514","97.9464043402","110.5374871554","121.7229660167","95.7565055941","103.4571998041","117.8184156843","112.334245895","114.7317095618","114.8396884912","100","98.9954962368","105.7349484101","115.0035049662","112.7771743786","96.5180914465","115.5063416856","","",
"France","FRA","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","7.85483727679232","8.46820198605536","8.35097917099163","8.71369818080892","8.62305918698818","7.88610871440897","7.15573533120966","7.46526844133728","7.05503019803171","6.1603240805412","6.28160303501378","6.11005008477384","5.59187221641411","5.21883800432784","5.19986794263813","6.62962998256163","6.75004028209863","7.31195927484804","6.38011231855399","5.70700370226464","6.45906820801174","6.87263207996192","6.66358823128145","5.58082515340048","5.09550757208109","4.57962658814068","4.24370123900717","3.49249443268358","3.30115678516415","3.10255275534258","2.79454849024688","2.75519870776372","2.68107345356705","2.3474289192095","2.00941194719779","2.39710514828383","2.57041115866388","2.07976113815234","2.47748773682897","2.25676036028247","2.5110567700506","2.41133440804004","2.3292320664259","2.21292932455619","2.07056391388047","2.24617274686732","2.15700607154168","2.24209357843558","2.36442252245394","2.62127745611251","2.73854237112378","2.83127397240977","2.62294518116108","2.67589997364182","2.73724915100311","2.5874381018599","2.39453106215544","2.17774435734862","1.93420301105077","1.92498620194413","2.05398590111636","","","",
"France","FRA","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","0.59966241227161","0.591590957109656","0.621410283025396","0.671157873489264","0.471360585168611","0.501446480231437","0.752940297252609","0.578112395805324","0.581502602725443","0.441686123472558","0.541004674864047","0.605109816225908","0.500135948132915","0.509060559413889","0.710354915091926","0.812647106469349","0.666646599394086","0.6367978166932","0.476626667108933","0.535308411327843","0.601316662592114","0.532603522132318","0.393130191580129","0.357613542032161","0.40417063269731","0.737181346611266","0.544089293123226","0.528620130316444","0.541302968981244","0.533351163144324","0.663690699287082","0.647019779211361","1.2255198873947","1.88562192618327","1.34342514939023","1.4973786374368","1.93816966936221","2.16156161359031","1.91662371332206","1.8814246720003","2.04036208392126","1.78419673845126","2.08711242770119","2.32098944601523","2.77251325515013","2.9450997576789","3.24732524977861","3.38466369157343","3.87397850496052","3.56723862964688","3.88208747579453","4.04422704033889","4.434535669985","4.0794373342062","3.77245456232628","3.37834199883855","3.40781705538341","3.32628686936996","3.06906687706751","3.09499251195376","3.67565745087761","","","",
"France","FRA","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","6866000000","7224000000","7411000000","8204000000","9106000000","10176000000","10982000000","11547000000","12903000000","15194000000","18099000000","20811000000","26449000000","36669000000","46259000000","53100000000","56874000000","65130000000","79371000000","100692000000","116030000000","106424000000","96694000000","94943000000","97566000000","101674000000","124948000000","148382000000","167787000000","179397000000","216588000000","217100000000","235871000000","221619000000","250571000000","301162000000","305509000000","302144000000","320631000000","325526000000","327611000000","323379000000","331719000000","392039000000","452106000000","463428000000","495868000000","559612000000","616240000000","484781000000","523767000000","596473000000","568708000000","580963000000","581393000000","506264000000","501179000000","535298000000","582222000000","570951000000","488637000000","585021000000","620461000000","648481000000",
"France","FRA","Insurance and financial services (% of commercial service exports)","TX.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","3.60393521167959","3.58810909090572","3.81487908939511","3.91642604917255","3.76613319839722","3.47993563723823","3.5820674612041","4.16290826831023","4.4677874309488","4.75955050846605","5.51503079863172","5.50487491082158","5.25634116209272","9.32613942069806","11.2880947942936","14.604666401169","13.7655406797238","22.0761441306853","16.7082645436437","4.95199990446824","4.81437977999999","3.74240022750847","3.69356970488939","2.76457134906472","4.18630651927849","2.55560007700674","2.33952090617906","2.19893448351795","1.92560122245627","2.2278436876194","2.29036727981675","2.10380133323124","3.154216609872","4.51032268641711","4.95911688440497","5.75169562128912","7.13422984125224","7.47635656350641","9.08985791596872","7.01061198165595","6.2452312273706","7.98801548538285","7.43642956157223","7.94249156894778","9.01768448132555","10.2305120919724","10.0462932379998","8.65602978750763","",
"France","FRA","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","4.76689200370096","4.75351756850895","4.650737689392","4.24304539303342","4.05154924909926","3.64464915095561","3.51810346209041","3.48741027797177","3.05445227861685","2.86993281698408","3.11790121539078","3.5142518993859","3.09649503522532","2.50163148540014","2.81883941039015","2.76654546457393","2.64745547805989","2.59745041144935","2.41647635670498","2.35360126335568","2.311428540893","2.33646967468174","2.55068304194797","2.48186615428279","2.37822425728337","2.3640081204948","2.32181266507667","2.1377052708811","1.86003478006849","1.62702212424673","1.56184137453339","1.44722393190467","1.46530207105932","1.45934079145404","1.3560553455092","1.22903877114789","1.13127317312602","1.08253314593051","1.09500735503525","1.02076244616367","0.995624599508137","0.994184500513953","0.975276502354572","0.940078216335911","0.919349530025359","0.92361510443111","0.840573966740374","0.863059849521024","0.955054128263272","1.03341504628488","0.971946582792798","0.96565485022917","0.977679040918057","0.954577498742947","0.947032111629837","0.970317568276113","0.918611286841535","0.89349530798971","0.956795073034678","1.06481875640103","1.02471103205517","0.938826180279092",
